scene_name,video_num,frame_num,LPIPS_Alex
Birthday,5,0,0.222
Birthday,5,1,0.2195
Birthday,5,2,0.2182
Birthday,5,3,0.2172
Birthday,5,4,0.2173
Birthday,5,5,0.2158
Birthday,5,6,0.2154
Birthday,5,7,0.215
Birthday,5,8,0.2162
Birthday,5,9,0.2158
Birthday,5,10,0.2169
Birthday,5,11,0.2148
Birthday,5,12,0.2147
Birthday,5,13,0.2138
Birthday,5,14,0.2143
Birthday,5,15,0.2128
Birthday,5,16,0.2134
Birthday,5,17,0.2119
Birthday,5,18,0.2126
Birthday,5,19,0.2127
Birthday,5,20,0.215
Birthday,5,21,0.214
Birthday,5,22,0.2144
Birthday,5,23,0.213
Birthday,5,24,0.2146
Birthday,5,25,0.2138
Birthday,5,26,0.2143
Birthday,5,27,0.2138
Birthday,5,28,0.2143
Birthday,5,29,0.2142
Birthday,5,30,0.2157
Birthday,5,31,0.2154
Birthday,5,32,0.2162
Birthday,5,33,0.2156
Birthday,5,34,0.2149
Birthday,5,35,0.2147
Birthday,5,36,0.2149
Birthday,5,37,0.2144
Birthday,5,38,0.2141
Birthday,5,39,0.2146
Birthday,5,40,0.2163
Birthday,5,41,0.2149
Birthday,5,42,0.2149
Birthday,5,43,0.2148
Birthday,5,44,0.2154
Birthday,5,45,0.2141
Birthday,5,46,0.2139
Birthday,5,47,0.2124
Birthday,5,48,0.2123
Birthday,5,49,0.212
Birthday,5,50,0.2126
Birthday,5,51,0.2149
Birthday,5,52,0.2179
Birthday,5,53,0.2192
Birthday,5,54,0.2222
Birthday,5,55,0.2194
Birthday,5,56,0.2189
Birthday,5,57,0.2164
Birthday,5,58,0.2141
Birthday,5,59,0.2158
Birthday,5,60,0.2174
Birthday,5,61,0.2173
Birthday,5,62,0.2182
Birthday,5,63,0.2198
Birthday,5,64,0.2226
Birthday,5,65,0.2226
Birthday,5,66,0.2215
Birthday,5,67,0.2211
Birthday,5,68,0.2215
Birthday,5,69,0.2206
Birthday,5,70,0.2212
Birthday,5,71,0.222
Birthday,5,72,0.2237
Birthday,5,73,0.2243
Birthday,5,74,0.2258
Birthday,5,75,0.2264
Birthday,5,76,0.2276
Birthday,5,77,0.2252
Birthday,5,78,0.2269
Birthday,5,79,0.2278
Birthday,5,80,0.2285
Birthday,5,81,0.2295
Birthday,5,82,0.2305
Birthday,5,83,0.2272
Birthday,5,84,0.2279
Birthday,5,85,0.2286
Birthday,5,86,0.2311
Birthday,5,87,0.2304
Birthday,5,88,0.2324
Birthday,5,89,0.2344
Birthday,5,90,0.235
Birthday,5,91,0.2341
Birthday,5,92,0.2371
Birthday,5,93,0.2361
Birthday,5,94,0.2342
Birthday,5,95,0.2354
Birthday,5,96,0.2367
Birthday,5,97,0.2401
Birthday,5,98,0.2404
Birthday,5,99,0.2423
Birthday,5,100,0.2428
Birthday,5,101,0.2459
Birthday,5,102,0.2531
Birthday,5,103,0.2508
Birthday,5,104,0.2458
Birthday,5,105,0.2417
Birthday,5,106,0.2408
Birthday,5,107,0.2409
Birthday,5,108,0.2398
Birthday,5,109,0.2374
Birthday,5,110,0.2386
Birthday,5,111,0.2357
Birthday,5,112,0.2401
Birthday,5,113,0.2471
Birthday,5,114,0.2525
Birthday,5,115,0.2501
Birthday,5,116,0.2414
Birthday,5,117,0.2378
Birthday,5,118,0.238
Birthday,5,119,0.236
Birthday,5,120,0.2379
Birthday,5,121,0.2339
Birthday,5,122,0.2388
Birthday,5,123,0.2377
Birthday,5,124,0.2409
Birthday,5,125,0.243
Birthday,5,126,0.2435
Birthday,5,127,0.2448
Birthday,5,128,0.247
Birthday,5,129,0.247
Birthday,5,130,0.2477
Birthday,5,131,0.243
Birthday,5,132,0.2416
Birthday,5,133,0.2409
Birthday,5,134,0.2397
Birthday,5,135,0.2383
Birthday,5,136,0.2362
Birthday,5,137,0.2365
Birthday,5,138,0.2404
Birthday,5,139,0.2374
Birthday,5,140,0.2353
Birthday,5,141,0.2325
Birthday,5,142,0.2341
Birthday,5,143,0.2345
Birthday,5,144,0.2359
Birthday,5,145,0.235
Birthday,5,146,0.2365
Birthday,5,147,0.2358
Birthday,5,148,0.236
Birthday,5,149,0.2348
Birthday,5,150,0.2348
Birthday,5,151,0.23
Birthday,5,152,0.2275
Birthday,5,153,0.2265
Birthday,5,154,0.2317
Birthday,5,155,0.231
Birthday,5,156,0.231
Birthday,5,157,0.23
Birthday,5,158,0.2281
Birthday,5,159,0.2252
Birthday,5,160,0.2238
Birthday,5,161,0.2217
Birthday,5,162,0.2212
Birthday,5,163,0.2188
Birthday,5,164,0.2187
Birthday,5,165,0.218
Birthday,5,166,0.2183
Birthday,5,167,0.2178
Birthday,5,168,0.2181
Birthday,5,169,0.2175
Birthday,5,170,0.2191
Birthday,5,171,0.2175
Birthday,5,172,0.2168
Birthday,5,173,0.2157
Birthday,5,174,0.216
Birthday,5,175,0.2145
Birthday,5,176,0.2148
Birthday,5,177,0.2142
Birthday,5,178,0.2158
Birthday,5,179,0.2153
Birthday,5,180,0.2158
Birthday,5,181,0.2161
Birthday,5,182,0.2175
Birthday,5,183,0.2165
Birthday,5,184,0.217
Birthday,5,185,0.2158
Birthday,5,186,0.2167
Birthday,5,187,0.2157
Birthday,5,188,0.2161
Birthday,5,189,0.2178
Birthday,5,190,0.2195
Birthday,5,191,0.2197
Birthday,5,192,0.2209
Birthday,5,193,0.2198
Birthday,5,194,0.2202
Birthday,5,195,0.2189
Birthday,5,196,0.2236
Birthday,5,197,0.2255
Birthday,5,198,0.2301
Birthday,5,199,0.229
Birthday,5,200,0.2285
Birthday,5,201,0.227
Birthday,5,202,0.2342
Birthday,5,203,0.2339
Birthday,5,204,0.2286
Birthday,5,205,0.2261
Birthday,5,206,0.2291
Birthday,5,207,0.2264
Birthday,5,208,0.2281
Birthday,5,209,0.2279
Birthday,5,210,0.2276
Birthday,5,211,0.2253
Birthday,5,212,0.2289
Birthday,5,213,0.2278
Birthday,5,214,0.2245
Birthday,5,215,0.2213
Birthday,5,216,0.2232
Birthday,5,217,0.2214
Birthday,5,218,0.2239
Birthday,5,219,0.2271
Birthday,5,220,0.2322
Birthday,5,221,0.2324
Birthday,5,222,0.2289
Birthday,5,223,0.2261
Birthday,5,224,0.2258
Birthday,5,225,0.2244
Birthday,5,226,0.225
Birthday,5,227,0.2262
Birthday,5,228,0.2322
Birthday,5,229,0.2309
Birthday,5,230,0.2274
Birthday,5,231,0.2252
Birthday,5,232,0.2249
Birthday,5,233,0.2241
Birthday,5,234,0.2256
Birthday,5,235,0.2246
Birthday,5,236,0.2251
Birthday,5,237,0.2242
Birthday,5,238,0.2229
Birthday,5,239,0.2211
Birthday,5,240,0.2173
Birthday,5,241,0.2155
Birthday,5,242,0.2138
Birthday,5,243,0.2123
Birthday,5,244,0.2115
Birthday,5,245,0.2139
Birthday,5,246,0.2145
Birthday,5,247,0.2135
Birthday,5,248,0.2132
Birthday,5,249,0.2122
Birthday,5,250,0.2221
Birthday,5,251,0.2208
Birthday,5,252,0.2197
Birthday,5,253,0.2181
Birthday,5,254,0.2186
Birthday,5,255,0.2191
Birthday,5,256,0.2181
Birthday,5,257,0.2183
Birthday,5,258,0.2168
Birthday,5,259,0.2166
Birthday,5,260,0.2166
Birthday,5,261,0.2165
Birthday,5,262,0.2154
Birthday,5,263,0.2162
Birthday,5,264,0.2174
Birthday,5,265,0.2174
Birthday,5,266,0.2188
Birthday,5,267,0.2189
Birthday,5,268,0.2187
Birthday,5,269,0.2179
Birthday,5,270,0.2169
Birthday,5,271,0.2161
Birthday,5,272,0.2147
Birthday,5,273,0.2114
Birthday,5,274,0.2124
Birthday,5,275,0.2143
Birthday,5,276,0.2165
Birthday,5,277,0.2169
Birthday,5,278,0.2186
Birthday,5,279,0.2214
Birthday,5,280,0.2205
Birthday,5,281,0.2202
Birthday,5,282,0.2202
Birthday,5,283,0.2199
Birthday,5,284,0.2181
Birthday,5,285,0.2164
Birthday,5,286,0.2159
Birthday,5,287,0.2169
Birthday,5,288,0.2177
Birthday,5,289,0.2167
Birthday,5,290,0.2165
Birthday,5,291,0.2174
Birthday,5,292,0.2184
Birthday,5,293,0.2177
Birthday,5,294,0.2156
Birthday,5,295,0.2143
Birthday,5,296,0.2155
Birthday,5,297,0.2153
Birthday,5,298,0.2153
Birthday,5,299,0.2159
Painter,5,0,0.1808
Painter,5,1,0.18
Painter,5,2,0.1799
Painter,5,3,0.1799
Painter,5,4,0.1806
Painter,5,5,0.1804
Painter,5,6,0.1814
Painter,5,7,0.1808
Painter,5,8,0.1818
Painter,5,9,0.1813
Painter,5,10,0.1822
Painter,5,11,0.1823
Painter,5,12,0.1837
Painter,5,13,0.1861
Painter,5,14,0.1883
Painter,5,15,0.1896
Painter,5,16,0.1926
Painter,5,17,0.1984
Painter,5,18,0.2018
Painter,5,19,0.2054
Painter,5,20,0.2075
Painter,5,21,0.2055
Painter,5,22,0.2014
Painter,5,23,0.2024
Painter,5,24,0.2053
Painter,5,25,0.2068
